TABLE	NV3_DUAL_EX_BP_V2_004781				
ANGL	0				
WAVE	0.4	1.00E+00	1.00E+00	2.83E-10	2.83E-10
WAVE	0.401	1.00E+00	1.00E+00	8.86E-10	8.86E-10
WAVE	0.402	1.00E+00	1.00E+00	1.42E-10	1.42E-10
WAVE	0.403	1.00E+00	1.00E+00	9.57E-11	9.57E-11
WAVE	0.404	1.00E+00	1.00E+00	1.16E-10	1.16E-10
WAVE	0.405	1.00E+00	1.00E+00	1.25E-10	1.25E-10
WAVE	0.406	1.00E+00	1.00E+00	7.07E-10	7.07E-10
WAVE	0.407	1.00E+00	1.00E+00	4.97E-10	4.97E-10
WAVE	0.408	1.00E+00	1.00E+00	1.11E-10	1.11E-10
WAVE	0.409	1.00E+00	1.00E+00	4.25E-11	4.25E-11
WAVE	0.41	1.00E+00	1.00E+00	3.40E-10	3.40E-10
WAVE	0.411	1.00E+00	1.00E+00	3.68E-10	3.68E-10
WAVE	0.412	1.00E+00	1.00E+00	5.99E-09	5.99E-09
WAVE	0.413	1.00E+00	1.00E+00	3.15E-10	3.15E-10
WAVE	0.414	1.00E+00	1.00E+00	3.95E-10	3.95E-10
WAVE	0.415	1.00E+00	1.00E+00	1.92E-09	1.92E-09
WAVE	0.416	1.00E+00	1.00E+00	7.52E-10	7.52E-10
WAVE	0.417	1.00E+00	1.00E+00	3.69E-09	3.69E-09
WAVE	0.418	1.00E+00	1.00E+00	3.06E-09	3.06E-09
WAVE	0.419	1.00E+00	1.00E+00	5.68E-10	5.68E-10
WAVE	0.42	1.00E+00	1.00E+00	1.62E-09	1.62E-09
WAVE	0.421	1.00E+00	1.00E+00	1.75E-09	1.75E-09
WAVE	0.422	1.00E+00	1.00E+00	1.74E-09	1.74E-09
WAVE	0.423	1.00E+00	1.00E+00	2.09E-10	2.09E-10
WAVE	0.424	1.00E+00	1.00E+00	2.23E-10	2.23E-10
WAVE	0.425	1.00E+00	1.00E+00	8.37E-10	8.37E-10
WAVE	0.426	1.00E+00	1.00E+00	2.54E-09	2.54E-09
WAVE	0.427	1.00E+00	1.00E+00	3.49E-09	3.49E-09
WAVE	0.428	1.00E+00	1.00E+00	5.79E-08	5.79E-08
WAVE	0.429	1.00E+00	1.00E+00	7.49E-09	7.49E-09
WAVE	0.43	1.00E+00	1.00E+00	1.06E-08	1.06E-08
WAVE	0.431	1.00E+00	1.00E+00	1.27E-08	1.27E-08
WAVE	0.432	1.00E+00	1.00E+00	2.30E-08	2.30E-08
WAVE	0.433	1.00E+00	1.00E+00	1.73E-07	1.73E-07
WAVE	0.434	1.00E+00	1.00E+00	8.91E-08	8.91E-08
WAVE	0.435	1.00E+00	1.00E+00	3.07E-07	3.07E-07
WAVE	0.436	1.00E+00	1.00E+00	4.06E-08	4.06E-08
WAVE	0.437	1.00E+00	1.00E+00	8.28E-08	8.28E-08
WAVE	0.438	1.00E+00	1.00E+00	6.45E-08	6.45E-08
WAVE	0.439	1.00E+00	1.00E+00	3.39E-08	3.39E-08
WAVE	0.44	1.00E+00	1.00E+00	4.66E-07	4.66E-07
WAVE	0.441	1.00E+00	1.00E+00	9.66E-08	9.66E-08
WAVE	0.442	1.00E+00	1.00E+00	1.32E-07	1.32E-07
WAVE	0.443	1.00E+00	1.00E+00	2.26E-06	2.26E-06
WAVE	0.444	1.00E+00	1.00E+00	4.55E-06	4.55E-06
WAVE	0.445	1.00E+00	1.00E+00	8.58E-06	8.58E-06
WAVE	0.446	1.00E+00	1.00E+00	1.66E-04	1.66E-04
WAVE	0.447	9.95E-01	9.95E-01	4.78E-03	4.78E-03
WAVE	0.448	9.26E-01	9.26E-01	7.43E-02	7.43E-02
WAVE	0.449	8.36E-01	8.36E-01	1.64E-01	1.64E-01
WAVE	0.45	1.68E-02	1.68E-02	9.83E-01	9.83E-01
WAVE	0.451	1.60E-02	1.60E-02	9.84E-01	9.84E-01
WAVE	0.452	1.42E-02	1.42E-02	9.86E-01	9.86E-01
WAVE	0.453	1.31E-02	1.31E-02	9.87E-01	9.87E-01
WAVE	0.454	1.42E-02	1.42E-02	9.86E-01	9.86E-01
WAVE	0.455	1.55E-02	1.55E-02	9.84E-01	9.84E-01
WAVE	0.456	1.23E-02	1.23E-02	9.88E-01	9.88E-01
WAVE	0.457	1.30E-02	1.30E-02	9.87E-01	9.87E-01
WAVE	0.458	1.41E-02	1.41E-02	9.86E-01	9.86E-01
WAVE	0.459	1.21E-02	1.21E-02	9.88E-01	9.88E-01
WAVE	0.46	1.29E-02	1.29E-02	9.87E-01	9.87E-01
WAVE	0.461	1.47E-02	1.47E-02	9.85E-01	9.85E-01
WAVE	0.462	1.21E-02	1.21E-02	9.88E-01	9.88E-01
WAVE	0.463	1.38E-02	1.38E-02	9.86E-01	9.86E-01
WAVE	0.464	1.26E-02	1.26E-02	9.87E-01	9.87E-01
WAVE	0.465	1.36E-02	1.36E-02	9.86E-01	9.86E-01
WAVE	0.466	1.26E-02	1.26E-02	9.87E-01	9.87E-01
WAVE	0.467	1.28E-02	1.28E-02	9.87E-01	9.87E-01
WAVE	0.468	1.35E-02	1.35E-02	9.87E-01	9.87E-01
WAVE	0.469	1.25E-02	1.25E-02	9.88E-01	9.88E-01
WAVE	0.47	1.45E-02	1.45E-02	9.85E-01	9.85E-01
